rank,ticker,name,market_cap_usd,market_cap_h,gics_sector,gics_industry
346,CRS,Carpenter Technology,28353590009,28.35B,Industrials,Industrial Machinery & Supplies & Components
347,OTIS,Otis Worldwide,28165723579,28.17B,Industrials,Industrial Machinery & Supplies & Components
348,XYL,Xylem Inc.,28093133148,28.09B,Industrials,Industrial Machinery & Supplies & Components
349,DG,Dollar General,27924062835,27.92B,Consumer Staples,Consumer Staples Merchandise Retail
350,FISV,Fiserv,27869893766,27.87B,Financials,Transaction & Payment Processing Services
351,HPQ,HP Inc.,27481406136,27.48B,Information Technology,"Technology Hardware, Storage & Peripherals"
352,FE,FirstEnergy,27468038278,27.47B,Utilities,Electric Utilities
353,CPRT,Copart,27459568414,27.46B,Industrials,Diversified Support Services
354,FTI,TechnipFMC,27302485769,27.30B,Energy,Oil & Gas Equipment & Services
355,ES,Eversource Energy,27201868896,27.20B,Utilities,Electric Utilities
356,HUBB,Hubbell Incorporated,27155412652,27.16B,Industrials,Industrial Machinery & Supplies & Components
357,CINF,Cincinnati Financial,27144127132,27.14B,Financials,Property & Casualty Insurance
358,AWK,American Water Works,26890019016,26.89B,Utilities,Water Utilities
359,FOXA,Fox Corporation (Class A),26886238234,26.89B,Communication Services,Broadcasting
360,FSLR,First Solar,26872820817,26.87B,Information Technology,Semiconductors
361,CNP,CenterPoint Energy,26796741516,26.80B,Utilities,Multi-Utilities
362,AVB,AvalonBay Communities,26781758396,26.78B,Real Estate,Multi-Family Residential REITs
363,RF,Regions Financial Corporation,26776144633,26.78B,Financials,Regional Banks
364,PPL,PPL Corporation,26678343147,26.68B,Utilities,Electric Utilities
365,NVT,nVent Electric plc,26656384369,26.66B,Industrials,Electrical Components & Equipment
366,VRSN,Verisign,26628223779,26.63B,Information Technology,Internet Services & Infrastructure
367,PPG,PPG Industries,26613756271,26.61B,Materials,Specialty Chemicals
368,WRB,W. R. Berkley Corporation,26579890509,26.58B,Financials,Property & Casualty Insurance
369,HAL,Halliburton,26568526895,26.57B,Energy,Oil & Gas Equipment & Services
370,EIX,Edison International,26405936295,26.41B,Utilities,Electric Utilities
371,DGX,Quest Diagnostics,26307491029,26.31B,Health Care,Health Care Services
372,SN,SharkNinja,26254861316,26.25B,Consumer Discretionary,Household Appliances
373,ROIV,Roivant Sciences,26249218475,26.25B,Health Care,Biotechnology
374,ECHO,EchoStar,26155783614,26.16B,Communication Services,Wireless Telecommunication Services
375,CTSH,Cognizant,25977116708,25.98B,Information Technology,IT Consulting & Other Services
376,LH,Labcorp,25884688088,25.88B,Health Care,Health Care Services
377,OKTA,"Okta, Inc.",25779109649,25.78B,Information Technology,Application Software
378,CPAY,Corpay,25683312611,25.68B,Financials,Transaction & Payment Processing Services
379,SYF,Synchrony Financial,25570893124,25.57B,Financials,Consumer Finance
380,CW,Curtiss-Wright,25540907436,25.54B,Industrials,Aerospace & Defense
381,SW,Smurfit Westrock,25323965357,25.32B,Materials,Paper & Plastic Packaging Products & Materials
382,PHM,PulteGroup,25315635151,25.32B,Consumer Discretionary,Homebuilding
383,JBHT,J.B. Hunt,25218038388,25.22B,Industrials,Cargo Ground Transportation
384,DLTR,Dollar Tree,25155652396,25.16B,Consumer Staples,Consumer Staples Merchandise Retail
385,EQR,Equity Residential,25147521397,25.15B,Real Estate,Multi-Family Residential REITs
386,VRSK,Verisk Analytics,24966527175,24.97B,Industrials,Research & Consulting Services
387,WST,West Pharmaceutical Services,24917946566,24.92B,Health Care,Health Care Supplies
388,NRG,NRG Energy,24832163779,24.83B,Utilities,Independent Power Producers & Energy Traders
389,CHD,Church & Dwight,24488930851,24.49B,Consumer Staples,Household Products
390,INCY,Incyte,24437239762,24.44B,Health Care,Biotechnology
391,DRI,Darden Restaurants,24385306026,24.39B,Consumer Discretionary,Restaurants
392,KEY,KeyCorp,24367355059,24.37B,Financials,Regional Banks
393,TROW,T. Rowe Price,24322272500,24.32B,Financials,Asset Management & Custody Banks
394,ULTA,Ulta Beauty,24295410161,24.30B,Consumer Discretionary,Other Specialty Retail
395,PFG,Principal Financial Group,24279466616,24.28B,Financials,Life & Health Insurance
396,USFD,US Foods,23977733300,23.98B,Consumer Staples,Food Distributors
397,VLTO,Veralto,23974636556,23.97B,Industrials,Environmental & Facilities Services
398,FOX,Fox Corporation (Class B),23946933670,23.95B,Communication Services,Broadcasting
399,BRO,Brown & Brown,23901217902,23.90B,Financials,Insurance Brokers
400,MTSI,MACOM Technology Solutions,23737613332,23.74B,Information Technology,Semiconductors
401,XPO,"XPO, Inc.",23719376294,23.72B,Industrials,Cargo Ground Transportation
402,MRNA,Moderna,23622786821,23.62B,Health Care,Biotechnology
403,L,Loews Corporation,23617534242,23.62B,Financials,Multi-line Insurance
404,RL,Ralph Lauren Corporation,23566562918,23.57B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
405,TPL,Texas Pacific Land Corporation,23496225342,23.50B,Energy,Oil & Gas Exploration & Production
406,OMC,Omnicom Group,23385249641,23.39B,Communication Services,Advertising
407,ENTG,Entegris,23237824279,23.24B,Information Technology,Semiconductor Materials & Equipment
408,EXPD,Expeditors International,23230624930,23.23B,Industrials,Air Freight & Logistics
409,BURL,Burlington Stores,23223155787,23.22B,Consumer Discretionary,Apparel Retail
410,STZ,Constellation Brands,23184879261,23.18B,Consumer Staples,Distillers & Vintners
411,STE,Steris,23143275388,23.14B,Health Care,Health Care Equipment
412,UTHR,United Therapeutics,23111221629,23.11B,Health Care,Biotechnology
413,LUV,Southwest Airlines,23017245483,23.02B,Industrials,Passenger Airlines
414,PKG,Packaging Corporation of America,22812818339,22.81B,Materials,Paper & Plastic Packaging Products & Materials
415,GPN,Global Payments,22788936473,22.79B,Financials,Transaction & Payment Processing Services
416,ROKU,"Roku, Inc.",22724428434,22.72B,Communication Services,Movies & Entertainment
417,FFIV,"F5, Inc.",22663897673,22.66B,Information Technology,Communications Equipment
418,FICO,Fair Isaac,22491777616,22.49B,Information Technology,Application Software
419,CMS,CMS Energy,22273383587,22.27B,Utilities,Multi-Utilities
420,AMCR,Amcor,22127865005,22.13B,Materials,Paper & Plastic Packaging Products & Materials
421,FIS,Fidelity National Information Services,22056742306,22.06B,Financials,Transaction & Payment Processing Services
422,IP,International Paper,22019517203,22.02B,Materials,Paper & Plastic Packaging Products & Materials
423,IFF,International Flavors & Fragrances,21914830166,21.91B,Materials,Specialty Chemicals
424,MTZ,MasTec,21879885445,21.88B,Industrials,Construction & Engineering
425,SITM,SiTime,21809921871,21.81B,Information Technology,Semiconductors
426,FDXF,FedEx Freight,21644244111,21.64B,Industrials,Cargo Ground Transportation
427,RS,"Reliance, Inc.",21641005022,21.64B,Materials,Steel
428,SNA,Snap-on,21536588393,21.54B,Industrials,Industrial Machinery & Supplies & Components
429,EXE,Expand Energy,21492810922,21.49B,Energy,Oil & Gas Exploration & Production
430,EFX,Equifax,21448042326,21.45B,Industrials,Research & Consulting Services
431,WWD,"Woodward, Inc.",21427138484,21.43B,Industrials,Electrical Components & Equipment
432,LEN,Lennar,21242133695,21.24B,Consumer Discretionary,Homebuilding
433,DOW,Dow Inc.,21193476570,21.19B,Materials,Commodity Chemicals
434,THC,Tenet Health,21106445863,21.11B,Health Care,Health Care Facilities
435,BG,Bunge Global,20821870023,20.82B,Consumer Staples,Agricultural Products & Services
436,MKSI,MKS Instruments,20622678354,20.62B,Information Technology,Semiconductor Materials & Equipment
437,NI,NiSource,20434056153,20.43B,Utilities,Multi-Utilities
438,TSN,Tyson Foods,20418560078,20.42B,Consumer Staples,Packaged Foods & Meats
439,SNX,TD Synnex,20183188033,20.18B,Information Technology,Technology Distributors
440,FN,Fabrinet,20149929356,20.15B,Information Technology,Electronic Manufacturing Services
441,SMCI,Supermicro,20137156787,20.14B,Information Technology,"Technology Hardware, Storage & Peripherals"
442,TOST,"Toast, Inc.",19929439735,19.93B,Financials,Transaction & Payment Processing Services
443,GIS,General Mills,19688502402,19.69B,Consumer Staples,Packaged Foods & Meats
444,SBAC,SBA Communications,19523394753,19.52B,Real Estate,Telecom Tower REITs
445,RGLD,Royal Gold,19480628726,19.48B,Materials,Gold
446,LYB,LyondellBasell,19249831608,19.25B,Materials,Specialty Chemicals
447,DD,DuPont,19239572813,19.24B,Industrials,Industrial Conglomerates
448,EVRG,Evergy,19224690168,19.22B,Utilities,Electric Utilities
449,ITT,ITT Inc.,19147562127,19.15B,Industrials,Industrial Machinery & Supplies & Components
450,BR,Broadridge Financial Solutions,18984629367,18.98B,Industrials,Data Processing & Outsourced Services
451,VTRS,Viatris,18871348246,18.87B,Health Care,Pharmaceuticals
452,GPC,Genuine Parts Company,18697919650,18.70B,Consumer Discretionary,Distributors
453,DKS,Dick's Sporting Goods,18691709499,18.69B,Consumer Discretionary,Specialty Stores
454,FTV,Fortive,18637472002,18.64B,Industrials,Industrial Machinery & Supplies & Components
455,ESS,Essex Property Trust,18515737668,18.52B,Real Estate,Multi-Family Residential REITs
456,LSCC,Lattice Semiconductor,18468196094,18.47B,Information Technology,Semiconductors
457,WY,Weyerhaeuser,18444269883,18.44B,Real Estate,Timber REITs
458,ZBH,Zimmer Biomet,18415724455,18.42B,Health Care,Health Care Equipment
459,CHTR,Charter Communications,18198167980,18.20B,Communication Services,Cable & Satellite
460,ROL,"Rollins, Inc.",18158428354,18.16B,Industrials,Environmental & Facilities Services
461,PFGC,Performance Food Group,18049624119,18.05B,Consumer Staples,Food Distributors
462,EWBC,East West Bancorp,18042407287,18.04B,Financials,Regional Banks
463,INVH,Invitation Homes,18041054702,18.04B,Real Estate,Single-Family Residential REITs
464,APG,APi Group,18029728118,18.03B,Industrials,Construction & Engineering
465,TSCO,Tractor Supply,18007147850,18.01B,Consumer Discretionary,Other Specialty Retail
466,LNT,Alliant Energy,17986580281,17.99B,Utilities,Electric Utilities
467,RBC,RBC Bearings,17958706726,17.96B,Industrials,Industrial Machinery & Supplies & Components
468,CDE,Coeur Mining,17875788987,17.88B,Materials,Gold
469,ZBRA,Zebra Technologies,17811989921,17.81B,Information Technology,Electronic Equipment & Instruments
470,WCC,WESCO International,17726087838,17.73B,Industrials,Trading Companies & Distributors
471,NWS,News Corp (Class B),17545559587,17.55B,Communication Services,Publishing
472,CNH,CNH Industrial,17545011651,17.55B,Industrials,Agricultural & Farm Machinery
473,RBA,RB Global,17542144226,17.54B,Industrials,Diversified Support Services
474,GEN,Gen Digital,17460493031,17.46B,Information Technology,Systems Software
475,CHRW,C.H. Robinson,17451736095,17.45B,Industrials,Air Freight & Logistics
476,NLY,Annaly Capital Management,17365581433,17.37B,Financials,Mortgage REITs
477,CF,CF Industries,17305514934,17.31B,Materials,Fertilizers & Agricultural Chemicals
478,IEX,IDEX Corporation,17284367311,17.28B,Industrials,Industrial Machinery & Supplies & Components
479,BBY,Best Buy,17282904332,17.28B,Consumer Discretionary,Computer & Electronics Retail
480,NDSN,Nordson Corporation,17278692038,17.28B,Industrials,Industrial Machinery & Supplies & Components
481,LDOS,Leidos,17263964111,17.26B,Industrials,Diversified Support Services
482,CG,Carlyle Group (The),17194842329,17.19B,Financials,Asset Management & Custody Banks
483,BEN,Franklin Resources,17157757483,17.16B,Financials,Asset Management & Custody Banks
484,NVR,"NVR, Inc.",17028828844,17.03B,Consumer Discretionary,Homebuilding
485,J,Jacobs Solutions,16978792154,16.98B,Industrials,Construction & Engineering
486,CDW,CDW Corporation,16978616319,16.98B,Information Technology,Technology Distributors
487,NTNX,Nutanix,16940985804,16.94B,Information Technology,Systems Software
488,PR,Permian Resources,16876773814,16.88B,Energy,Oil & Gas Exploration & Production
489,BALL,Ball Corporation,16795428203,16.80B,Materials,"Metal, Glass & Plastic Containers"
490,H,Hyatt,16746810987,16.75B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
491,STRL,Sterling Infrastructure,16733754582,16.73B,Industrials,Construction & Engineering
492,JLL,Jones Lang LaSalle,16672271637,16.67B,Real Estate,Real Estate Services
493,TLN,Talen Energy,16660266587,16.66B,Utilities,Independent Power Producers & Energy Traders
494,JAZZ,Jazz Pharmaceuticals,16654483716,16.65B,Health Care,Pharmaceuticals
495,NBIX,Neurocrine Biosciences,16610493039,16.61B,Health Care,Biotechnology
496,MEDP,Medpace,16486576781,16.49B,Health Care,Life Sciences Tools & Services
497,OVV,Ovintiv,16418976168,16.42B,Energy,Oil & Gas Exploration & Production
498,KIM,Kimco Realty,16407507449,16.41B,Real Estate,Retail REITs
499,WPC,W. P. Carey,16358838138,16.36B,Real Estate,Diversified REITs
500,LAMR,Lamar Advertising Company,16342389902,16.34B,Real Estate,Other Specialized REITs
501,CLH,Clean Harbors,16267446924,16.27B,Industrials,Environmental & Facilities Services
502,RGA,Reinsurance Group of America,16083378479,16.08B,Financials,Reinsurance
503,PTC,PTC Inc.,16027460540,16.03B,Information Technology,Application Software
504,HST,Host Hotels & Resorts,15950839081,15.95B,Real Estate,Hotel & Resort REITs
505,AKAM,Akamai Technologies,15917760131,15.92B,Information Technology,Internet Services & Infrastructure
506,PNFP,Pinnacle Financial Partners,15818471201,15.82B,Financials,Regional Banks
507,ULS,UL Solutions,15790455925,15.79B,Industrials,Research & Consulting Services
508,SWK,Stanley Black & Decker,15689118741,15.69B,Industrials,Industrial Machinery & Supplies & Components
509,NXT,Nextpower,15667590559,15.67B,Industrials,Electrical Components & Equipment
510,MAA,Mid-America Apartment Communities,15658324095,15.66B,Real Estate,Multi-Family Residential REITs
511,BWXT,BWX Technologies,15566573842,15.57B,Industrials,Aerospace & Defense
512,ALB,Albemarle Corporation,15471643095,15.47B,Materials,Specialty Chemicals
513,NWSA,News Corp (Class A),15420627294,15.42B,Communication Services,Publishing
514,CSL,Carlisle Companies,15388829008,15.39B,Industrials,Industrial Conglomerates
515,TXT,Textron,15380790039,15.38B,Industrials,Aerospace & Defense
516,LECO,Lincoln Electric,15368442777,15.37B,Industrials,Industrial Machinery & Supplies & Components
517,ONTO,Onto Innovation,15335941098,15.34B,Information Technology,Semiconductor Materials & Equipment
518,TRU,TransUnion,15331831356,15.33B,Industrials,Research & Consulting Services
519,MAS,Masco,15283998120,15.28B,Industrials,Building Products
520,MLI,Mueller Industries,15228338226,15.23B,Industrials,Industrial Machinery & Supplies & Components
521,LII,Lennox International,15198747665,15.20B,Industrials,Building Products
522,IESC,IES Holdings,15196506002,15.20B,Industrials,Construction & Engineering
523,CRBG,Corebridge Financial,15013618676,15.01B,Financials,Asset Management & Custody Banks
524,RPM,RPM International,14980182557,14.98B,Materials,Specialty Chemicals
525,DOC,Healthpeak Properties,14762778531,14.76B,Real Estate,Health Care REITs
526,ARMK,Aramark,14712252106,14.71B,Consumer Discretionary,Distributors
527,VNOM,Viper Energy,14695411705,14.70B,Energy,Oil & Gas Storage & Transportation
528,OHI,Omega Healthcare Investors,14684009702,14.68B,Real Estate,Health Care REITs
529,LULU,Lululemon Athletica,14600762984,14.60B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
530,DOCN,DigitalOcean,14597501311,14.60B,Information Technology,Internet Services & Infrastructure
531,TOL,Toll Brothers,14496417047,14.50B,Consumer Discretionary,Homebuilding
532,COO,Cooper Companies (The),14477124319,14.48B,Health Care,Health Care Supplies
533,DINO,HF Sinclair,14473383798,14.47B,Energy,Oil & Gas Refining & Marketing
534,TTMI,TTM Technologies,14454918336,14.45B,Information Technology,Electronic Manufacturing Services
535,EG,Everest Group,14376991213,14.38B,Financials,Reinsurance
536,ALLE,Allegion,14366114834,14.37B,Industrials,Building Products
537,UNM,Unum,14335647613,14.34B,Financials,Life & Health Insurance
538,AIZ,Assurant,14281696132,14.28B,Financials,Multi-line Insurance
539,GL,Globe Life,14274989783,14.27B,Financials,Life & Health Insurance
540,BAX,Baxter International,14243239378,14.24B,Health Care,Health Care Equipment
541,CACI,CACI International,14241605755,14.24B,Industrials,Diversified Support Services
542,MKC,McCormick & Company,14238377947,14.24B,Consumer Staples,Packaged Foods & Meats
543,PAG,Penske Automotive Group,14210102586,14.21B,Consumer Discretionary,Automotive Retail
544,GWRE,Guidewire Software,14197707651,14.20B,Information Technology,Application Software
545,DT,Dynatrace,14152434560,14.15B,Information Technology,Application Software
546,SOLV,Solventum,14125165603,14.13B,Health Care,Health Care Technology
547,REG,Regency Centers,14122257087,14.12B,Real Estate,Retail REITs
548,EQH,Equitable Holdings,14066771413,14.07B,Financials,Diversified Financial Services
549,IVZ,Invesco,13942569966,13.94B,Financials,Asset Management & Custody Banks
550,BWA,BorgWarner,13934851567,13.93B,Consumer Discretionary,Automotive Parts & Equipment
551,TRMB,Trimble Inc.,13872466104,13.87B,Information Technology,Application Software
552,WMG,Warner Music Group,13804866484,13.80B,Communication Services,Movies & Entertainment
553,HRL,Hormel Foods,13768880526,13.77B,Consumer Staples,Packaged Foods & Meats
554,AMKR,Amkor Technology,13731968241,13.73B,Information Technology,Semiconductors
555,SGI,Somnigroup International,13726348287,13.73B,Consumer Discretionary,Home Furnishings
556,TXRH,Texas Roadhouse,13671759920,13.67B,Consumer Discretionary,Restaurants
557,TKO,TKO Group Holdings,13639606264,13.64B,Communication Services,Movies & Entertainment
558,WSO,Watsco,13596250819,13.60B,Industrials,Trading Companies & Distributors
559,GGG,Graco Inc.,13529622605,13.53B,Industrials,Industrial Machinery & Supplies & Components
560,FIVE,Five Below,13512524653,13.51B,Consumer Discretionary,Specialty Stores
561,FNF,Fidelity National Financial,13506325439,13.51B,Financials,Property & Casualty Insurance
562,AVY,Avery Dennison,13428142444,13.43B,Materials,Paper & Plastic Packaging Products & Materials
563,PINS,Pinterest,13410292652,13.41B,Communication Services,Interactive Home Entertainment
564,DTM,DT Midstream,13408890755,13.41B,Energy,Oil & Gas Storage & Transportation
565,EXEL,Exelixis,13397556010,13.40B,Health Care,Biotechnology
566,RNR,RenaissanceRe,13374307597,13.37B,Financials,Reinsurance
567,AIT,Applied Industrial Technologies,13301738580,13.30B,Industrials,Trading Companies & Distributors
568,ALLY,Ally Financial,13299610949,13.30B,Financials,Consumer Finance
569,DECK,Deckers Brands,13272283658,13.27B,Consumer Discretionary,Footwear
570,AA,Alcoa,13240336372,13.24B,Materials,Aluminum
571,ERIE,Erie Indemnity,13207374955,13.21B,Financials,Insurance Brokers
572,HAS,Hasbro,13190478080,13.19B,Consumer Discretionary,Leisure Products
573,APA,APA Corporation,13183727695,13.18B,Energy,Oil & Gas Exploration & Production
574,CCK,Crown Holdings,13126306338,13.13B,Materials,Paper & Plastic Packaging Products & Materials
575,WTS,Watts Water Technologies,13093834068,13.09B,Industrials,Building Products
576,BF-B,Brown–Forman,13086809047,13.09B,Consumer Staples,Distillers & Vintners
577,JEF,Jefferies,13053869337,13.05B,Financials,Multi-Sector Holdings
578,AEIS,Advanced Energy,13017194218,13.02B,Information Technology,Semiconductor Materials & Equipment
579,SMTC,Semtech,12987135671,12.99B,Information Technology,Semiconductors
580,COKE,Coca-Cola Consolidated,12846243464,12.85B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
581,SJM,J.M. Smucker Company (The),12842784101,12.84B,Consumer Staples,Packaged Foods & Meats
582,GLPI,Gaming and Leisure Properties,12841210520,12.84B,Real Estate,Other Specialized REITs
583,WBS,Webster Bank,12805503197,12.81B,Financials,Regional Banks
584,TYL,Tyler Technologies,12795538511,12.80B,Information Technology,Application Software
585,RVTY,Revvity,12791443980,12.79B,Health Care,Health Care Equipment
586,PEN,"Penumbra, Inc.",12788169890,12.79B,Health Care,Health Care Equipment
587,HII,Huntington Ingalls Industries,12786004391,12.79B,Industrials,Aerospace & Defense
588,CRL,Charles River Laboratories,12769670405,12.77B,Health Care,Life Sciences Tools & Services
589,MOG-A,Moog Inc.,12766964471,12.77B,Industrials,Aerospace & Defense
590,CLX,Clorox,12714880242,12.71B,Consumer Staples,Household Products
591,CR,Crane,12709142559,12.71B,Industrials,Industrial Machinery & Supplies & Components
592,ELS,Equity Lifestyle Properties,12647190864,12.65B,Real Estate,Single-Family Residential REITs
593,SF,Stifel,12595529454,12.60B,Financials,Investment Banking & Brokerage
594,SEIC,SEI Investments Company,12566007989,12.57B,Financials,Asset Management & Custody Banks
595,GNRC,Generac,12522330003,12.52B,Industrials,Heavy Electrical Equipment
596,AMH,American Homes 4 Rent,12460394492,12.46B,Real Estate,Single-Family Residential REITs
597,EHC,Encompass Health,12422701121,12.42B,Health Care,Health Care Facilities
598,OC,Owens Corning,12418548581,12.42B,Industrials,Building Products
599,ARWR,Arrowhead Pharmaceuticals,12380954248,12.38B,Health Care,Biotechnology
600,BTSG,BrightSpring Health Services,12352664626,12.35B,Health Care,Health Care Services
601,BMRN,BioMarin Pharmaceutical,12351941827,12.35B,Health Care,Biotechnology
602,UDR,"UDR, Inc.",12339758717,12.34B,Real Estate,Multi-Family Residential REITs
603,ALGN,Align Technology,12336780958,12.34B,Health Care,Health Care Supplies
604,BJ,BJ's Wholesale Club,12319916294,12.32B,Consumer Staples,Consumer Staples Merchandise Retail
605,CSGP,CoStar Group,12253174968,12.25B,Real Estate,Real Estate Services
606,DY,Dycom Industries,12252533032,12.25B,Industrials,Construction & Engineering
607,PNW,Pinnacle West Capital,12244556403,12.24B,Utilities,Multi-Utilities
608,HALO,Halozyme,12231372885,12.23B,Health Care,Biotechnology
609,AFG,American Financial Group,12072535931,12.07B,Financials,Multi-line Insurance
610,FHN,First Horizon,12062366008,12.06B,Financials,Regional Banks
611,CORT,Corcept Therapeutics Incorporated,11974059072,11.97B,Health Care,Pharmaceuticals
612,RRX,Regal Rexnord,11853352326,11.85B,Industrials,Electrical Components & Equipment
613,CART,Maplebear Inc.,11791445338,11.79B,Consumer Staples,Food Retail
614,EVR,Evercore,11765772695,11.77B,Financials,Investment Banking & Brokerage
615,AHR,American Healthcare REIT,11729424102,11.73B,Real Estate,Health Care REITs
616,DVA,DaVita,11724526272,11.72B,Health Care,Health Care Services
617,IT,Gartner,11720450331,11.72B,Information Technology,IT Consulting & Other Services
618,DPZ,Domino's,11610035302,11.61B,Consumer Discretionary,Restaurants
619,LFUS,Littelfuse,11595797632,11.60B,Information Technology,Electronic Components
620,SCI,Service Corp Intl,11586148102,11.59B,Consumer Discretionary,Specialized Consumer Services
621,GDDY,GoDaddy,11533806364,11.53B,Information Technology,Internet Services & Infrastructure
622,DOCU,Docusign,11506321757,11.51B,Information Technology,Application Software
623,DCI,Donaldson Company,11429989302,11.43B,Industrials,Industrial Machinery & Supplies & Components
624,KTOS,Kratos Defense & Security Solutions,11407825127,11.41B,Industrials,Aerospace & Defense
625,KNX,Knight-Swift,11396174573,11.40B,Industrials,Cargo Ground Transportation
626,MANH,Manhattan Associates,11382879434,11.38B,Information Technology,Application Software
627,MGM,MGM Resorts,11377704732,11.38B,Consumer Discretionary,Casinos & Gaming
628,WTRG,Essential Utilities,11356664898,11.36B,Utilities,Water Utilities
629,HL,Hecla Mining,11319298318,11.32B,Materials,Silver
630,TECH,Bio-Techne,11263552175,11.26B,Health Care,Life Sciences Tools & Services
631,CPT,Camden Property Trust,11253369476,11.25B,Real Estate,Multi-Family Residential REITs
632,CGNX,Cognex,11252492688,11.25B,Information Technology,Electronic Equipment & Instruments
633,GMED,Globus Medical,11178569743,11.18B,Health Care,Health Care Equipment
634,BXP,"BXP, Inc.",11130006922,11.13B,Real Estate,Office REITs
635,JKHY,Jack Henry & Associates,11080368924,11.08B,Financials,Transaction & Payment Processing Services
636,VSAT,"Viasat, Inc.",11072811629,11.07B,Information Technology,Communications Equipment
637,UMBF,UMB Financial Corp.,11058324831,11.06B,Financials,Regional Banks
638,ELAN,Elanco,11047825195,11.05B,Health Care,Pharmaceuticals
639,RMBS,Rambus,11011021572,11.01B,Information Technology,Semiconductors
640,PNR,Pentair,10994843902,10.99B,Industrials,Industrial Machinery & Supplies & Components
641,RYAN,Ryan Specialty,10959105428,10.96B,Financials,Insurance Brokers
642,EGP,EastGroup Properties,10902002583,10.90B,Real Estate,Industrial REITs
643,SANM,Sanmina Corporation,10865791752,10.87B,Information Technology,Electronic Manufacturing Services
644,WMS,Advanced Drainage Systems,10854598750,10.85B,Industrials,Building Products
645,SPXC,SPX Technologies,10802517917,10.80B,Industrials,Industrial Machinery & Supplies & Components
646,AYI,Acuity Brands,10764223588,10.76B,Industrials,Electrical Components & Equipment
647,WTFC,Wintrust Financial,10710222261,10.71B,Financials,Regional Banks
648,AR,Antero Resources,10671207408,10.67B,Energy,Oil & Gas Exploration & Production
649,ENSG,Ensign Group,10663937020,10.66B,Health Care,Health Care Facilities
650,BSY,Bentley Systems,10636690345,10.64B,Information Technology,Application Software
651,SWKS,Skyworks Solutions,10626388278,10.63B,Information Technology,Semiconductors
652,GKOS,Glaukos Corp.,10618288590,10.62B,Health Care,Health Care Equipment
653,WYNN,Wynn Resorts,10558942877,10.56B,Consumer Discretionary,Casinos & Gaming
654,AAL,American Airlines Group,10551800741,10.55B,Industrials,Passenger Airlines
655,AES,AES Corporation,10508950693,10.51B,Utilities,Independent Power Producers & Energy Traders
656,UHS,Universal Health Services,10505477946,10.51B,Health Care,Health Care Facilities
657,SSB,South State Bank,10484886882,10.48B,Financials,Regional Banks
658,CYTK,Cytokinetics,10421751008,10.42B,Health Care,Biotechnology
659,ORI,Old Republic International,10388858338,10.39B,Financials,Property & Casualty Insurance
660,ARW,Arrow Electronics,10359762355,10.36B,Information Technology,Technology Distributors
661,FRT,Federal Realty Investment Trust,10312871407,10.31B,Real Estate,Retail REITs
662,PSKY,Paramount Skydance Corporation,10310681238,10.31B,Communication Services,Movies & Entertainment
663,APTV,Aptiv,10288231392,10.29B,Consumer Discretionary,Automotive Parts & Equipment
664,ZION,Zions Bancorporation,10263439879,10.26B,Financials,Regional Banks
665,MOH,Molina Healthcare,10254689840,10.25B,Health Care,Managed Health Care
666,NYT,New York Times Company,10247959202,10.25B,Communication Services,Publishing
667,CFR,Frost Bank,10223475132,10.22B,Financials,Regional Banks
668,VICR,Vicor Corporation,10198808977,10.20B,Industrials,Electrical Components & Equipment
669,FLS,Flowserve,10162666373,10.16B,Industrials,Industrial Machinery & Supplies & Components
670,ONB,Old National Bank,10161058995,10.16B,Financials,Regional Banks
671,FDS,FactSet,10156452374,10.16B,Financials,Financial Exchanges & Data
672,AM,Antero Midstream,10096316197,10.10B,Energy,Oil & Gas Storage & Transportation
673,SIRI,SiriusXM,10081670658,10.08B,Communication Services,Broadcasting
674,R,Ryder,10054165414,10.05B,Industrials,Cargo Ground Transportation
675,WLK,Westlake Corporation,9900398729,9.90B,Materials,Specialty Chemicals
676,PRI,Primerica,9891224893,9.89B,Financials,Life & Health Insurance
677,HSIC,Henry Schein,9821783440,9.82B,Health Care,Health Care Distributors
678,ALSN,Allison Transmission,9816876930,9.82B,Industrials,Construction Machinery & Heavy Transportation Equipment
679,PODD,Insulet Corporation,9790732145,9.79B,Health Care,Health Care Equipment
680,LTH,"Life Time Group Holdings, Inc.",9789868248,9.79B,Consumer Discretionary,Leisure Facilities
681,AMG,Affiliated Managers Group,9764548146,9.76B,Financials,Asset Management & Custody Banks
682,ACM,AECOM,9747177782,9.75B,Industrials,Construction & Engineering
683,CTRE,CareTrust REIT,9740005951,9.74B,Real Estate,Health Care REITs
684,SAIA,Saia,9715174048,9.72B,Industrials,Cargo Ground Transportation
685,OGE,OGE Energy,9713452209,9.71B,Utilities,Multi-Utilities
686,SARO,StandardAero,9704857040,9.70B,Industrials,Aerospace & Defense
687,PAYC,Paycom,9687693897,9.69B,Industrials,Human Resource & Employment Services
688,SOLS,Solstice Advanced Materials,9683335468,9.68B,Materials,Specialty Chemicals
689,KRYS,Krystal Biotech,9662540373,9.66B,Health Care,Biotechnology
690,EAT,"Brinker International, Inc.",9658330177,9.66B,Consumer Discretionary,Restaurants
691,VIAV,Viavi Solutions,9655276073,9.66B,Information Technology,Communications Equipment
